Id,Category,Tweet
639976673685962000,0,And @whytology article 3 gives SCOTUS no legislative powers and the 10th amendment is clear. The 14th sec 5 requires an act of congress.
641539752177586000,0,And 2nd it wasnt harrys fault that he had ran over your ipad so whyd you ask him to pay for the crack like wtf https://t.co/5MSumtM2qk
639767721073315000,0,And I don't know about TGIF. Fridays are terrible. I'm more of a TGIS person. Can it be Saturday already?
638850695349800000,0,"And if my day wasn't bad enough already, Snoop Dogg just cancelled his concert tomorrow night...."
638783969568366000,0,And in comes Sony with the letdown. Only one color. Clap it up... low and slow https://t.co/6jaRCgfvTP
624612349505187000,0,Another nail in the coffin to Jay-z failure 'Tidal' as Cash Money sues for $50m over Lil Wanker's album @MarkDice http://t.co/iFpOECcl7a
641250877391695000,0,Anyone else feel like Cool Pope may be in jeopardy of going down Julius Caesar-style?
638302584302891000,0,"anyone having problems with Windows 10? may be coincidental but since i downloaded, my WiFi keeps dropping out. Itunes had a malfunction"
641607922217160000,0,"Apparently a glut of Republican presidential candidates will be in Ames Saturday to make an already insane game day worse. Thanks, Obama."
641253026188144000,0,Are they closing all schools 4 the Pope visit or the Million man march anniversary???? Foolishness. ...
641423309318582000,0,"are yall really mad that he's paying $200 to fix a broken iPad, don't yall have bigger problems to deal with  https://t.co/bDigQfbZOd"
631647796496457000,0,Are you fucking stupid? You can't talk about sales when Mariah Carey outsold bey with her 3rd album please stfu damn https://t.co/0eKLOK4CV6
637011130947399000,0,"As Chemtrails of poisonous Aluminum dim out the sun, Monsanto unveils new patents on GM seeds tolerant to Aluminum and sunlight deprivation."
641440147280674000,0,AS far as I am concerned you Murdered Stevens with Obama's help. Bring him down and your sentence may be lighter. You played part in Murder
638043918068793000,0,"As things stand, the bottom 3 in Serie A are Bologna (18th), Empoli (19th); and Juventus (20th)."
623703521733390000,0,B texted me and told me that she &amp; her mom went to see Magic Mike XXL (she loved the 1st one) and she hated it.
634483423277486000,0,BEWARE - if you do not have to upgrade to Windows 10 you may want to think twice before you do. We would warn you... http://t.co/B1iSmtLihL
641346868346122000,0,"Big Rally tomorrow, again it looks like too little, too late.  Where was everyone before Kerry and Obama F'ed Up? https://t.co/idqCp02CNc"
621430307888173000,0,Bloke sat behind me in the cinema loudly exclaimed Ant Man to be 'the stupidest idea ever' and then laughed at Ted 2 trailer. Idiot
